#FID	IID	POP
5711290	5711290	Europe
5109631	5109631	Europe
4325194	4325194	Europe
1635037	1635037	Europe
5263792	5263792	Europe
3854145	3854145	Europe
3728649	3728649	Europe
2610064	2610064	Europe
3327030	3327030	Europe
5649701	5649701	Europe
2550728	2550728	Europe
5852772	5852772	Europe
2644492	2644492	Europe
2786818	2786818	Europe
3322382	3322382	Europe
3430550	3430550	Europe
5682364	5682364	Europe
4927803	4927803	Europe
5653305	5653305	Europe
4064377	4064377	Europe
5469143	5469143	Europe
5799458	5799458	Europe
4371472	4371472	Europe
5921413	5921413	Europe
4412054	4412054	Europe
3804751	3804751	Europe
2785806	2785806	Europe
5482281	5482281	Europe
1717768	1717768	Europe
5041153	5041153	Europe
2992590	2992590	Europe
4489603	4489603	Europe
1225055	1225055	Europe
1395404	1395404	Europe
1298891	1298891	Europe
3100091	3100091	Europe
1493386	1493386	Europe
1786328	1786328	Europe
3057673	3057673	Europe
2226825	2226825	Europe
3086257	3086257	Europe
4261973	4261973	Europe
2828232	2828232	Europe
2514413	2514413	Europe
4454758	4454758	Europe
2707519	2707519	Europe
1398518	1398518	Europe
5221994	5221994	Europe
1989531	1989531	Europe
1939090	1939090	Europe
3094233	3094233	Europe
3903491	3903491	Europe
4423245	4423245	Europe
4031177	4031177	Europe
4445198	4445198	Europe
2441659	2441659	Europe
5843413	5843413	Europe
1295834	1295834	Europe
2535803	2535803	Europe
4835009	4835009	Europe
4570432	4570432	Europe
5127473	5127473	Europe
1226488	1226488	Europe
4696917	4696917	Europe
3906083	3906083	Europe
4578728	4578728	Europe
5179680	5179680	Europe
1092369	1092369	Europe
1069004	1069004	Europe
5419291	5419291	Europe
2479667	2479667	Europe
4572774	4572774	Europe
4774684	4774684	Europe
2099217	2099217	Europe
2605860	2605860	Europe
1144426	1144426	Europe
4536775	4536775	Europe
5656463	5656463	Europe
1840957	1840957	Europe
5540685	5540685	Europe
3954420	3954420	Europe
4922651	4922651	Europe
3174834	3174834	Europe
4185256	4185256	Europe
5275117	5275117	Europe
1454470	1454470	Europe
4375897	4375897	Europe
3108338	3108338	Europe
5946378	5946378	Europe
2112031	2112031	Europe
1233884	1233884	Europe
4180532	4180532	Europe
1726231	1726231	Europe
2729891	2729891	Europe
4178091	4178091	Europe
1593004	1593004	Europe
5279359	5279359	Europe
1347496	1347496	Europe
2724307	2724307	Europe
5559483	5559483	Europe
1419358	1419358	Europe
